City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Gurugram,2015-11-27,49.1194204489251,114.60769233587,5.28,8.37,34.9473617352078,2.88,12.3755891707275,11.1570921330473,6.44849079226751,6.50773310890305,251.693379724948,Poor
Gurugram,2015-11-28,49.1194204489251,114.60769233587,4.71,8,34.9473617352078,0.47,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,248.423677498561,Poor
Gurugram,2015-11-29,49.1194204489251,114.60769233587,3.1,8.04,34.9473617352078,1.67,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,248.053677498561,Poor
Gurugram,2015-11-30,49.1194204489251,114.60769233587,3.9,8.21,34.9473617352078,1.45,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,248.803677498561,Poor
Gurugram,2015-12-01,49.1194204489251,114.60769233587,17.3234395525847,16.7722571540496,34.9473617352078,1.45,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,270.789374205195,Poor
Gurugram,2015-12-02,49.1194204489251,114.60769233587,7.59,10.25,34.9473617352078,2.08,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,255.163677498561,Poor
Gurugram,2015-12-03,49.1194204489251,114.60769233587,13.11,14.27,34.9473617352078,0.66,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,263.283677498561,Poor
Gurugram,2015-12-04,49.1194204489251,114.60769233587,14.32,12.84,34.9473617352078,3.91,12.3755891707275,11.1570921330473,6.44849079226751,6.5317641381314,266.257410754176,Poor
Gurugram,2015-12-05,49.1194204489251,114.60769233587,12.82,15.38,34.9473617352078,2.09,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,265.533677498561,Poor
Gurugram,2015-12-07,49.1194204489251,114.60769233587,13.35,14.02,34.9473617352078,1.63,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,264.243677498561,Poor
Gurugram,2015-12-10,49.1194204489251,114.60769233587,12.63,12.82,34.9473617352078,1.47,12.3755891707275,13.7439142801739,6.44849079226751,6.5317641381314,264.694232901303,Poor
Gurugram,2015-12-14,49.1194204489251,114.60769233587,17.3234395525847,16.7722571540496,34.9473617352078,0.68,12.3755891707275,11.1570921330473,6.44849079226751,6.58803088251602,270.019374205196,Poor
Gurugram,2015-12-15,49.1194204489251,114.60769233587,17.3234395525847,16.7722571540496,34.9473617352078,0.2,12.3755891707275,11.1570921330473,6.5267025712116,6.54047212867375,269.570027230297,Poor
Gurugram,2015-12-16,49.1194204489251,114.60769233587,17.3234395525847,16.7722571540496,34.9473617352078,1.39,12.3755891707275,11.1570921330473,6.5267025712116,6.54047212867375,270.760027230297,Poor
Gurugram,2015-12-21,49.1194204489251,114.584029484029,17.3234395525847,16.7722571540496,34.9473617352078,1.96,12.3755891707275,11.1570921330473,6.5267025712116,6.54047212867375,271.306364378457,Poor
Gurugram,2015-12-23,49.1194204489251,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.74,12.3755891707275,11.1570921330473,6.44849079226751,6.43418065753765,289.998689043024,Poor
Gurugram,2015-12-24,49.1194204489251,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.69,12.3755891707275,11.1570921330473,6.5267025712116,6.54047212867375,290.133192293104,Poor
Gurugram,2015-12-25,51.6779104249148,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.51,12.3755891707275,11.1570921330473,6.5267025712116,6.58803088251602,292.559241022936,Poor
Gurugram,2015-12-26,51.6779104249148,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.59,12.3755891707275,13.92,6.44849079226751,6.58803088251602,295.323937110945,Poor
Gurugram,2015-12-27,51.6779104249148,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.42,12.3755891707275,14.77,6.44849079226751,6.58803088251602,296.003937110945,Poor
Gurugram,2015-12-28,51.6779104249148,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.44,12.3755891707275,16.97,6.44849079226751,6.58803088251602,298.223937110945,Poor
Gurugram,2016-01-12,49.1194204489251,119.779220056825,8.31891217507068,8.94,34.9473617352078,1.18,5.99,11.1570921330473,6.5267025712116,6.61753929114942,252.576248411437,Poor
Gurugram,2016-01-14,51.6779104249148,119.779220056825,22.5888316192349,8.06,34.9473617352078,0.2,12.3755891707275,11.1570921330473,6.5267025712116,6.58803088251602,273.900738593685,Poor
Gurugram,2016-01-16,49.1194204489251,119.779220056825,8.31891217507068,10.41,34.9473617352078,0.87,4.68,11.1570921330473,6.5267025712116,6.58803088251602,252.396740002803,Poor
Gurugram,2016-01-17,51.6779104249148,119.779220056825,22.5888316192349,25.4085024292515,34.9473617352078,1.49,12.3755891707275,11.1570921330473,6.5267025712116,6.58803088251602,292.539241022936,Poor
Gurugram,2016-01-18,51.6779104249148,119.779220056825,22.5888316192349,8.72,34.9473617352078,1.41,12.3755891707275,11.1570921330473,6.5267025712116,6.58803088251602,275.770738593685,Poor
Gurugram,2016-01-21,51.6779104249148,119.779220056825,22.5888316192349,9.08,34.9473617352078,0.97,12.3755891707275,11.1570921330473,6.5267025712116,6.50773310890305,275.610440820072,Poor
Gurugram,2016-01-22,51.6779104249148,119.779220056825,22.5888316192349,10.99,34.9473617352078,1.41,12.3755891707275,11.1570921330473,6.5267025712116,4.67072982405342,276.123437535222,Poor
Gurugram,2016-01-23,51.6779104249148,119.779220056825,22.5888316192349,8.25,34.9473617352078,0.45,12.3755891707275,11.1570921330473,6.5267025712116,4.67072982405342,202,Poor
