City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.92,19.9473672293189,13.7439142801739,6.68139891524252,6.50773310890305,289.251952111714,Poor
Ahmedabad,2015-01-02,55.9905273974009,114.60769233587,22.2723393403493,15.69,34.9473617352078,0.97,16.6604522730753,12.8748884322915,3.68,5.5,283.193261514195,Poor
Ahmedabad,2015-01-03,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,17.4,19.9473672293189,11.1570921330473,6.8,16.4,313.155997940442,Very Poor
Ahmedabad,2015-01-04,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,1.7,16.6604522730753,11.1570921330473,6.68139891524252,6.50773310890305,284.158215008344,Poor
Ahmedabad,2015-01-05,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,22.1,16.6604522730753,11.1570921330473,6.68139891524252,6.50773310890305,304.558215008344,Very Poor
Ahmedabad,2015-01-06,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,45.41,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,327.023197929293,Very Poor
Ahmedabad,2015-01-07,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,112.16,19.9473672293189,11.1570921330473,5.97478517288104,6.50773310890305,397.198516222226,Very Poor
Ahmedabad,2015-01-08,55.9905273974009,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,80.87,19.9473672293189,11.1570921330473,5.76194795430505,6.50773310890305,365.69567900365,Very Poor
Ahmedabad,2015-01-09,48.3728618901028,114.60769233587,14.0058344880675,22.2422734738133,34.9473617352078,29.16,19.9473672293189,11.1570921330473,5.76194795430505,6.50773310890305,306.710164348635,Very Poor
Ahmedabad,2015-01-11,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,132.07,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,406.065532421995,Severe
Ahmedabad,2015-01-12,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,52.04,19.9473672293189,11.1570921330473,5.76194795430505,4.67072982405342,328.43685489959,Very Poor
Ahmedabad,2015-01-13,48.3728618901028,114.60769233587,48.82,44.2,35.9732064232958,48.82,12.3755891707275,11.1570921330473,5.76194795430505,6.5821669907893,376.670556898138,Very Poor
Ahmedabad,2015-01-14,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,19.2,16.6604522730753,20.96,5.76194795430505,6.50773310890305,303.949851095149,Very Poor
Ahmedabad,2015-01-15,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,0.6,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,275.621377110083,Poor
Ahmedabad,2015-01-16,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,1.63,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,276.651377110083,Poor
Ahmedabad,2015-01-17,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,11.44,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,286.461377110083,Poor
Ahmedabad,2015-01-18,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,6.1,16.6604522730753,53.49,5.1448931192213,4.67072982405342,320.925792975216,Very Poor
Ahmedabad,2015-01-19,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,2.51,16.6604522730753,49.48,5.76194795430505,6.5821669907893,331.889207298393,Very Poor
Ahmedabad,2015-01-20,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,7.92,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,298.97629943144,Poor
Ahmedabad,2015-01-21,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,9.52,16.6604522730753,48.75,5.76194795430505,6.5821669907893,338.169207298393,Very Poor
Ahmedabad,2015-01-22,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,9.05,16.6604522730753,42.22,5.76194795430505,6.5821669907893,331.169207298393,Very Poor
Ahmedabad,2015-01-23,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,22.53,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,297.551377110083,Poor
Ahmedabad,2015-01-24,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,2.03,16.6604522730753,11.1570921330473,5.97478517288104,6.94337560985594,293.660345269083,Poor
Ahmedabad,2015-01-25,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,35.9732064232958,1.42,16.6604522730753,11.1570921330473,5.76194795430505,6.5821669907893,292.47629943144,Poor
