City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Hyderabad,2015-01-04,49.1194204489251,135.098722729373,3.7,17.19,34.9473617352078,0.3,2.58,11.1570921330473,6.68139891524252,6.5821669907893,267.356162952585,Poor
Hyderabad,2015-01-05,49.1194204489251,135.098722729373,3.61,9.69,34.9473617352078,0.23,5.19,11.1570921330473,6.68139891524252,6.5821669907893,262.306162952585,Poor
Hyderabad,2015-01-06,49.1194204489251,114.584029484029,4.21,22.02,34.9473617352078,0.31,9.09,11.1570921330473,6.68139891524252,6.5821669907893,258.701469707242,Poor
Hyderabad,2015-01-07,49.1194204489251,114.584029484029,26.08,8.58578130052172,34.9473617352078,0.53,9.03,11.1570921330473,6.68139891524252,6.58803088251602,267.30311489949,Poor
Hyderabad,2015-01-08,49.1194204489251,114.584029484029,10.31,33.02,34.9473617352078,0.44,8.47,11.1570921330473,6.68139891524252,6.50773310890305,275.237035825355,Poor
Hyderabad,2015-01-09,49.1194204489251,114.584029484029,8.79,31.6,34.9473617352078,0.39,8.92,11.1570921330473,6.68139891524252,6.50773310890305,272.697035825355,Poor
Hyderabad,2015-01-10,49.1194204489251,114.584029484029,8.12,32.52,34.9473617352078,0.43,9.59,34.63,6.68139891524252,6.50773310890305,297.129943692308,Poor
Hyderabad,2015-01-11,49.1194204489251,114.584029484029,14,31.96,34.9473617352078,0.39,12.53,38.74,6.68139891524252,6.50773310890305,309.459943692308,Very Poor
Hyderabad,2015-01-12,49.1194204489251,114.584029484029,13.26,8.58578130052172,34.9473617352078,0.48,8.58,3.70769230769231,6.68139891524252,6.5317641381314,246.47744832975,Poor
Hyderabad,2015-01-13,49.1194204489251,114.584029484029,33.63,8.58578130052172,34.9473617352078,0.72,3.01,3.70769230769231,6.68139891524252,6.58803088251602,261.573715074135,Poor
Hyderabad,2015-01-14,49.1194204489251,114.584029484029,32,8.58578130052172,34.9473617352078,0.86,1.77,6.14,6.68139891524252,6.50773310890305,261.19572499283,Poor
Hyderabad,2015-01-15,49.1194204489251,114.584029484029,16.05,8.58578130052172,34.9473617352078,0.64,2.23,9.29,6.68139891524252,6.50773310890305,248.63572499283,Poor
Hyderabad,2015-01-16,49.1194204489251,114.584029484029,11.73,8.58578130052172,34.9473617352078,0.47,2.82,11.1570921330473,6.68139891524252,6.50773310890305,246.602817125877,Poor
Hyderabad,2015-01-17,49.1194204489251,114.584029484029,20.28,8.58578130052172,34.9473617352078,0.61,2.65,11.1570921330473,6.68139891524252,6.58803088251602,255.20311489949,Poor
Hyderabad,2015-01-18,49.1194204489251,114.584029484029,13.45,8.58578130052172,34.9473617352078,0.55,2.55,11.1570921330473,6.68139891524252,6.50773310890305,248.132817125877,Poor
Hyderabad,2015-01-19,49.1194204489251,114.584029484029,12.24,21.48,34.9473617352078,0.51,2.86,11.1570921330473,6.68139891524252,6.5317641381314,260.111066854584,Poor
Hyderabad,2015-01-20,49.1194204489251,114.584029484029,13.19,20.47,34.9473617352078,0.46,2.63,12.912480323825,6.68139891524252,6.58803088251602,261.582721789746,Poor
Hyderabad,2015-01-21,49.1194204489251,114.584029484029,12.78,8.58578130052172,34.9473617352078,0.4,2.71,11.1570921330473,6.68139891524252,6.58803088251602,247.55311489949,Poor
Hyderabad,2015-01-22,49.1194204489251,114.584029484029,14.64,8.58578130052172,34.9473617352078,0.43,10.9159809415629,11.1570921330473,6.68139891524252,6.50773310890305,257.56879806744,Poor
