City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Shillong,2019-08-27,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.35,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,290.992563699429,Poor
Shillong,2019-08-28,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.29,16.6604522730753,11.1570921330473,6.68139891524252,6.50773310890305,37,Good
Shillong,2019-08-29,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.31,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,40,Good
Shillong,2019-08-30,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.34,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,35,Good
Shillong,2019-08-31,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.29,16.6604522730753,11.1570921330473,6.44849079226751,6.43418065753765,32,Good
Shillong,2019-09-01,48.3728618901028,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.23,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,31,Good
Shillong,2019-09-02,48.3728618901028,114.60769233587,1.32,3.61,34.9473617352078,0.23,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,243.861684268474,Poor
Shillong,2019-09-03,48.3728618901028,114.60769233587,1.26,3.56,34.9473617352078,0.19,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,243.711684268474,Poor
Shillong,2019-09-04,49.1194204489251,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.28,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,275.634199936893,Poor
Shillong,2019-09-05,49.1194204489251,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.25,16.6604522730753,11.1570921330473,6.44849079226751,6.43418065753765,113,Moderate
Shillong,2019-09-06,8.32,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.29,16.6604522730753,11.1570921330473,6.44849079226751,6.43418065753765,25,Good
Shillong,2019-09-07,4.2,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.18,16.6604522730753,11.1570921330473,6.44849079226751,6.43418065753765,31,Good
Shillong,2019-09-08,4.34,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.18,16.6604522730753,11.1570921330473,6.44849079226751,5.82281302912441,33,Good
Shillong,2019-09-09,4.94,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.21,16.6604522730753,11.1570921330473,6.44849079226751,5.82281302912441,35,Good
Shillong,2019-09-10,49.1194204489251,114.60769233587,22.2723393403493,3.53,34.9473617352078,0.24,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,35,Good
Shillong,2019-09-11,49.1194204489251,114.60769233587,22.2723393403493,3.54,34.9473617352078,0.29,16.6604522730753,11.1570921330473,6.44849079226751,0.69,40,Good
Shillong,2019-09-12,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.23,16.6604522730753,11.1570921330473,6.44849079226751,6.61753929114942,30,Good
Shillong,2019-09-13,64.4077842114603,114.60769233587,22.2723393403493,13.6336177692482,34.9473617352078,0.32,16.6604522730753,11.1570921330473,5.84816550069378,6.50773310890305,30,Good
Shillong,2019-09-14,64.4077842114603,114.60769233587,22.2723393403493,3.49,34.9473617352078,0.17,16.6604522730753,11.1570921330473,6.44849079226751,5.82281302912441,38,Good
Shillong,2019-09-15,64.4077842114603,114.584029484029,22.2723393403493,3.58,34.9473617352078,0.18,16.6604522730753,11.1570921330473,5.84816550069378,5.82281302912441,51,Satisfactory
Shillong,2019-09-16,49.1194204489251,114.60769233587,22.2723393403493,3.56,34.9473617352078,0.2,16.6604522730753,11.1570921330473,6.68139891524252,6.50773310890305,60,Satisfactory
Shillong,2019-09-17,64.4077842114603,114.60769233587,23.6648970123878,3.55,34.9473617352078,0.23,16.6604522730753,11.1570921330473,6.44849079226751,6.50773310890305,41,Good
Shillong,2019-09-18,64.4077842114603,114.60769233587,2.94,5.07,34.9473617352078,0.22,16.6604522730753,20.9354111749031,6.44849079226751,6.50773310890305,42,Good
Shillong,2019-09-19,64.4077842114603,114.584029484029,22.2723393403493,3.42,34.9473617352078,0.27,16.6604522730753,29.60626210214,6.44849079226751,5.82281302912441,37,Good
Shillong,2019-09-20,64.4077842114603,114.60769233587,22.2723393403493,3.56,34.9473617352078,0.32,16.6604522730753,29.60626210214,0.42,1.04,32,Good
Shillong,2019-09-21,64.4077842114603,114.60769233587,22.2723393403493,3.54,34.9473617352078,0.28,16.6604522730753,29.60626210214,6.44849079226751,6.50773310890305,31,Good
Shillong,2019-09-22,64.4077842114603,114.584029484029,22.2723393403493,3.53,34.9473617352078,0.27,16.6604522730753,29.60626210214,6.44849079226751,6.50773310890305,31,Good
Shillong,2019-09-23,49.1194204489251,114.584029484029,22.2723393403493,3.59,34.9473617352078,0.35,16.6604522730753,3.70769230769231,6.68139891524252,6.50773310890305,44,Good
Shillong,2019-09-24,48.3728618901028,114.584029484029,22.2723393403493,3.55,34.9473617352078,0.49,16.6604522730753,11.1570921330473,6.68139891524252,6.50773310890305,43,Good
Shillong,2019-09-25,49.1194204489251,114.584029484029,22.2723393403493,3.54,34.9473617352078,0.43,16.6604522730753,11.1570921330473,6.68139891524252,6.58803088251602,38,Good
